Name,Ac,Activate,Aggravate,AntiTheft,Blessed,Blows,BrandAcid,BrandCold,BrandElec,BrandFire,BrandPois,Category,Cha,Chance1,Chance2,Chance3,Chance4,Chaotic,Con,Cost,Cursed,Dd,Dex,DrainExp,DreadCurse,Ds,EasyKnow,Feather,FreeAct,FriendlyName,HeavyCurse,HideType,HoldLife,IgnoreAcid,IgnoreCold,IgnoreElec,IgnoreFire,ImAcid,ImCold,ImElec,ImFire,Impact,Infra,InstaArt,Int,KillDragon,Level,Lightsource,Locale1,Locale2,Locale3,Locale4,NoMagic,NoTele,PermaCurse,Pval,Reflect,Regen,ResAcid,ResBlind,ResChaos,ResCold,ResConf,ResDark,ResDisen,ResElec,ResFear,ResFire,ResLight,ResNether,ResNexus,ResPois,ResShards,ResSound,Search,SeeInvis,ShElec,ShFire,ShowMods,SlayAnimal,SlayDemon,SlayDragon,SlayEvil,SlayGiant,SlayOrc,SlayTroll,SlayUndead,SlowDigest,Speed,Stealth,Str,SubCategory,SustCha,SustCon,SustDex,SustInt,SustStr,SustWis,Telepathy,Teleport,ToA,ToD,ToH,Tried,Tunnel,Vampiric,Vorpal,Weight,Wis,Wraith,XtraMight,XtraShots,Character,Colour
Amulet:Adornment,0,False,False,False,False,False,False,False,False,False,False,Amulet,False,1,0,0,0,False,False,20,False,0,False,False,False,0,True,False,False,Adornment,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,15,False,15,0,0,0,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,False,False,False,False,False,False,False,False,0,0,0,False,False,False,False,3,False,False,False,False,£,Background
Amulet:Amulet,0,False,False,False,False,False,False,False,False,False,False,Amulet,False,0,0,0,0,False,False,60000,False,0,False,False,False,0,False,False,False,& Amulet~,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,50,False,0,0,0,0,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10,False,False,False,False,False,False,False,False,0,0,0,False,False,False,False,3,False,False,False,False,£,Background
Amulet:Amulet*,0,False,False,False,False,False,False,False,False,False,False,Amulet,False,0,0,0,0,False,False,90000,False,0,False,False,False,0,False,False,False,& Amulet~,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,60,False,0,0,0,0,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,False,False,False,False,False,False,False,False,0,0,0,False,False,False,False,3,False,False,False,False,£,Background
Amulet:Anti-Magic,0,False,False,False,False,False,False,False,False,False,False,Amulet,False,4,0,0,0,False,False,30000,False,0,False,False,False,0,False,False,False,Anti-Magic,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,40,False,40,0,0,0,True,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13,False,False,False,False,False,False,False,False,0,0,0,False,False,False,False,3,False,False,False,False,£,Background
Amulet:Anti-Teleportation,0,False,False,False,False,False,False,False,False,False,False,Amulet,False,4,0,0,0,False,False,15000,False,0,False,False,False,0,False,False,False,Anti-Teleportation,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,30,False,30,0,0,0,False,True,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14,False,False,False,False,False,False,False,False,0,0,0,False,False,False,False,3,False,False,False,False,£,Background
Amulet:Anti-Theft,0,False,False,True,False,False,False,False,False,False,False,Amulet,False,1,0,0,0,False,False,1000,False,0,False,False,False,0,False,False,False,Anti-Theft,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,20,False,20,0,0,0,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,16,False,False,False,False,False,False,False,False,0,0,0,False,False,False,False,3,False,False,False,False,£,Background
Amulet:Brilliance,0,False,False,False,False,False,False,False,False,False,False,Amulet,False,1,0,0,0,False,False,500,False,0,False,False,False,0,False,False,False,Brilliance,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,20,False,20,0,0,0,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,False,False,False,False,False,False,False,False,0,0,0,False,False,False,False,3,True,False,False,False,£,Background
Amulet:Charisma,0,False,False,False,False,False,False,False,False,False,False,Amulet,True,1,0,0,0,False,False,500,False,0,False,False,False,0,False,False,False,Charisma,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20,False,20,0,0,0,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7,False,False,False,False,False,False,False,False,0,0,0,False,False,False,False,3,False,False,False,False,£,Background
Amulet:DOOM,0,False,False,False,False,False,False,False,False,False,False,Amulet,True,1,0,0,0,False,True,0,True,0,True,False,False,0,False,False,False,DOOM,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,50,False,50,0,0,0,False,False,False,-5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,False,False,False,False,False,False,False,False,0,0,0,False,False,False,False,3,True,False,False,False,£,Background
Amulet:Necklace,0,False,False,False,False,False,False,False,False,False,False,Amulet,False,0,0,0,0,False,False,75000,False,0,False,False,False,0,False,False,False,& Necklace~,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,70,False,0,0,0,0,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12,False,False,False,False,False,False,False,False,0,0,0,False,False,False,False,3,False,False,False,False,£,Background
