Name,SplitName1,SplitName2,SplitName3,AcidBall,AcidBolt,Animal,ArmourClass,Arrow1D6,Arrow3D6,Arrow5D6,Arrow7D6,Attack1,Attack1DDice,Attack1DSides,Attack1Effect,Attack1Type,Attack2,Attack2DDice,Attack2DSides,Attack2Effect,Attack2Type,Attack3,Attack3DDice,Attack3DSides,Attack3Effect,Attack3Type,Attack4,Attack4DDice,Attack4DSides,Attack4Effect,Attack4Type,AttrAny,AttrClear,AttrMulti,BashDoor,Blindness,Blink,BrainSmash,BreatheAcid,BreatheChaos,BreatheCold,BreatheConfusion,BreatheDark,BreatheDisenchant,BreatheDisintegration,BreatheFire,BreatheForce,BreatheGravity,BreatheInertia,BreatheLight,BreatheLightning,BreatheMana,BreatheNether,BreatheNexus,BreathePlasma,BreathePoison,BreatheRadiation,BreatheShards,BreatheSound,BreatheTime,CauseCriticalWounds,CauseLightWounds,CauseMortalWounds,CauseSeriousWounds,ChaosBall,CharClear,CharMulti,ColdBall,ColdBlood,ColdBolt,Confuse,CreateTraps,Cthuloid,DarkBall,Darkness,Demon,Description,Dragon,DrainMana,DreadCurse,Drop_1D2,Drop_2D2,Drop_3D2,Drop_4D2,Drop60,Drop90,DropGood,DropGreat,EldritchHorror,EmptyMind,Escorted,EscortsGroup,Evil,Female,FireAura,FireBall,FireBolt,ForceMaxHp,ForceSleep,Forget,FreqInate,FreqSpell,FriendlyName,Friends,Giant,Good,GreatOldOne,Haste,Hdice,Heal,HitPoints,Hold,Hside,HurtByCold,HurtByFire,HurtByLight,HurtByRock,IceBolt,ImmuneAcid,ImmuneCold,ImmuneConfusion,ImmuneFear,ImmuneFire,ImmuneLightning,ImmunePoison,ImmuneSleep,ImmuneStun,Invisible,KillBody,KillItem,KillWall,Level,LightningAura,LightningBall,LightningBolt,MagicMissile,Male,ManaBall,ManaBolt,Mexp,MindBlast,MoveBody,Multiply,NetherBall,NetherBolt,NeverAttack,NeverMove,Nonliving,NoticeRange,OnlyDropGold,OnlyDropItem,OpenDoor,Orc,PassWall,PlasmaBolt,PoisonBall,PoisonBolt,Powerful,RadiationBall,RandomMove25,RandomMove50,Rarity,Reflecting,Regenerate,ResistDisenchant,ResistNether,ResistNexus,ResistPlasma,ResistTeleport,ResistWater,Scare,Shapechanger,ShardBall,Shriek,Sleep,Slow,Smart,Speed,Stupid,SummonAnt,SummonCthuloid,SummonDemon,SummonDragon,SummonGreatOldOne,SummonHiDragon,SummonHiUndead,SummonHound,SummonHydra,SummonKin,SummonMonster,SummonMonsters,SummonReaver,SummonSpider,SummonUndead,SummonUnique,TakeItem,TeleportAway,TeleportLevel,TeleportSelf,TeleportTo,Troll,Undead,Unique,WaterBall,WaterBolt,WeirdMind,Character,Colour
11-headed hydra,            , 11-headed  ,   hydra    ,False,False,True,100,False,False,False,False,Bite to Fire (3d12),3,12,Fire,Bite,Bite to Fire (3d12),3,12,Fire,Bite,Bite to Fire (3d12),3,12,Fire,Bite,Bite to Fire (3d12),3,12,Fire,Bite,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,A strange reptilian hybrid with eleven smouldering heads.,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,4,4,11-headed hydra,False,False,False,False,False,100,False,100d18 (avg. 950),False,18,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,44,False,False,False,False,False,False,False,6000,False,True,False,False,False,False,False,False,20,True,False,True,False,False,True,False,False,False,False,False,False,2,False,False,False,False,False,False,False,False,True,False,False,False,20,False,False,120,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,M,Green
2-headed hydra,            ,  2-headed  ,   hydra    ,False,False,True,60,False,False,False,False,Bite to Hurt (2d6),2,6,Hurt,Bite,Nothing to Nothing (0d0),0,0,Nothing,Nothing,Nothing to Nothing (0d0),0,0,Nothing,Nothing,Nothing to Nothing (0d0),0,0,Nothing,Nothing,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,A strange reptilian hybrid with two heads§ guarding its hoard.,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,11,11,2-headed hydra,False,False,False,False,False,100,False,100d3 (avg. 200),False,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,17,False,False,False,False,False,False,False,80,False,True,False,False,False,False,False,False,20,True,False,True,False,False,False,False,False,False,False,False,False,2,False,False,False,False,False,False,False,False,True,False,False,False,20,False,False,110,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,M,BrightChartreuse
4-headed hydra,            ,  4-headed  ,   hydra    ,False,False,True,70,False,False,False,False,Bite to Hurt (2d6),2,6,Hurt,Bite,Bite to Hurt (2d6),2,6,Hurt,Bite,Bite to Hurt (2d6),2,6,Hurt,Bite,Bite to Hurt (2d6),2,6,Hurt,Bite,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,A strange reptilian hybrid with four heads§ guarding its hoard.,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,7,7,4-headed hydra,False,False,False,False,False,100,False,100d6 (avg. 350),False,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24,False,False,False,False,False,False,False,350,False,True,False,False,False,False,False,False,20,True,False,True,False,False,False,False,False,False,False,False,False,2,False,False,False,False,False,False,False,False,True,False,False,False,20,False,False,120,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,M,Chartreuse
9-headed hydra,            ,  9-headed  ,   hydra    ,False,False,True,95,False,False,False,False,Bite to Fire (3d6),3,6,Fire,Bite,Bite to Fire (3d6),3,6,Fire,Bite,Bite to Fire (3d6),3,6,Fire,Bite,Bite to Fire (3d6),3,6,Fire,Bite,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,A strange reptilian hybrid with nine smouldering heads.,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,4,4,9-headed hydra,False,False,False,False,False,100,False,100d12 (avg. 650),False,12,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,40,False,False,False,False,False,False,False,3000,False,True,False,False,False,False,False,False,20,True,False,True,False,False,False,False,False,False,False,False,False,2,False,False,False,False,False,False,False,False,True,False,False,False,20,False,False,120,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,M,BrightGreen
Abhoth§ Source of Uncleanness,            ,            ,   Abhoth   ,False,False,False,100,False,False,False,False,Crush to LoseCon (30d4),30,4,LoseCon,Crush,Hit to LoseStr (30d4),30,4,LoseStr,Hit,Touch to LoseInt (1d50),1,50,LoseInt,Touch,Crawl to LoseWis (1d50),1,50,LoseWis,Crawl,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,A greyish horrid mass§ which quobbs and quivers spawning monstrosities.,False,False,True,False,False,False,True,False,True,True,True,True,False,False,False,True,False,False,True,False,True,True,False,3,3,Abhoth§ Source of Uncleanness,False,False,False,True,True,90,True,90d99 (max. 8910),False,99,False,False,False,False,False,True,False,True,False,True,False,True,True,False,False,False,False,False,93,True,False,False,False,True,True,False,49000,True,False,False,False,False,False,False,True,100,False,True,True,False,True,False,False,False,False,False,False,False,3,False,True,False,False,True,False,True,False,False,False,False,False,20,False,True,130,False,False,True,True,False,False,True,True,True,False,False,False,True,True,True,False,False,False,True,True,True,True,False,False,True,False,False,False,X,Grey
Abyss worm mass,   Abyss    ,    worm    ,    mass    ,False,False,True,15,False,False,False,False,Crawl to Exp10 (0d0),0,0,Exp10,Crawl,Nothing to Nothing (0d0),0,0,Nothing,Nothing,Nothing to Nothing (0d0),0,0,Nothing,Nothing,Nothing to Nothing (0d0),0,0,Nothing,Nothing,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Even more disgusting dark worms§ their essence that of unbeing.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,0,Abyss worm mass,False,False,False,False,False,5,False,5d8 (avg. 22),False,8,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,12,False,False,False,False,False,False,False,7,False,False,True,False,False,False,False,False,10,False,False,False,False,False,False,False,False,False,False,True,True,4,False,False,False,False,False,False,False,False,False,False,False,False,3,False,False,100,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,w,Red
Acidic cytoplasm,            ,   Acidic   , cytoplasm  ,False,False,False,18,False,False,False,False,Touch to Acid (1d10),1,10,Acid,Touch,Touch to Acid (1d10),1,10,Acid,Touch,Touch to Acid (1d10),1,10,Acid,Touch,Touch to Acid (1d10),1,10,Acid,Touch,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,A disgusting animated blob of destruction. Flee its gruesome hunger!,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0,0,Acidic cytoplasm,False,False,False,False,False,40,False,40d10 (max. 400),False,10,False,False,False,False,False,True,True,True,True,True,True,True,True,False,False,False,False,False,35,False,False,False,False,False,False,False,36,False,False,False,False,False,False,False,False,12,False,False,True,False,False,False,False,False,False,False,False,False,5,False,False,False,False,False,False,False,False,False,False,False,False,1,False,False,120,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,j,Chartreuse
Aether hound,            ,   Aether   ,   hound    ,False,False,True,100,False,False,False,False,Bite to Hurt (2d12),2,12,Hurt,Bite,Bite to Hurt (2d12),2,12,Hurt,Bite,Bite to Hurt (2d12),2,12,Hurt,Bite,Claw to Hurt (3d3),3,3,Hurt,Claw,True,False,True,True,False,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,A shifting§ swirling form. It seems to be all colours and sizes and shapes§ though the dominant form is that of a huge dog. You feel very uncertain all of a sudden.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,5,5,Aether hound,True,False,False,False,False,60,False,60d30 (avg. 930),False,30,False,False,False,False,False,True,True,True,False,True,True,True,True,False,False,False,False,False,75,True,False,False,False,False,False,False,10000,False,False,False,False,False,False,False,False,30,False,False,False,False,False,False,False,False,False,False,False,False,2,False,False,True,True,True,True,False,False,False,False,False,False,0,False,False,120,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Z,BrightGrey
Aether vortex,            ,   Aether   ,   vortex   ,False,False,False,40,False,False,False,False,Engulf to Electricity (5d5),5,5,Electricity,Engulf,Engulf to Fire (3d3),3,3,Fire,Engulf,Engulf to Acid (3d3),3,3,Acid,Engulf,Engulf to Cold (3d3),3,3,Cold,Engulf,True,False,True,True,False,False,False,True,True,True,True,True,False,False,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,An awesome vortex of pure magic§ power radiates from its frame.,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,6,6,Aether vortex,False,False,False,False,False,32,False,32d20 (avg. 336),False,20,False,False,False,False,False,True,True,True,True,True,True,True,True,False,False,False,False,False,55,True,False,False,False,False,False,False,4500,False,False,False,False,False,False,False,True,100,False,False,False,False,False,False,False,False,True,False,True,True,2,False,False,False,True,True,True,False,False,False,False,False,False,0,False,False,130,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,v,BrightGrey
Agent of the black market,  Agent of  , the black  ,   market   ,False,False,False,8,False,False,False,False,Hit to Hurt (1d6),1,6,Hurt,Hit,Touch to EatItem (0d0),0,0,EatItem,Touch,Nothing to Nothing (0d0),0,0,Nothing,Nothing,Nothing to Nothing (0d0),0,0,Nothing,Nothing,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,He 'finds' new wares for the Black Market. From unwary adventurers...,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,0,Agent of the black market,False,False,False,False,False,2,False,2d8 (avg. 9),False,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,False,False,False,True,False,False,0,False,False,False,False,False,False,False,False,10,False,False,True,False,False,False,False,False,False,False,False,False,1,False,False,False,False,False,False,False,False,False,False,False,False,99,False,False,110,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,t,Black
