Name,Character,Colour
Azure,!,Blue
Black,!,Black
Blue,!,Blue
Blue Speckled,!,Blue
Brown,!,Brown
Brown Speckled,!,BrightBrown
Bubbling,!,Diamond
Chartreuse,!,Chartreuse
Clear,!,White
Clotted Red,!,Red
Cloudy,!,BrightGrey
Coagulated Crimson,!,BrightRed
Copper Speckled,!,Copper
Crimson,!,BrightRed
Cyan,!,BrightTurquoise
Dark Blue,!,Blue
Dark Green,!,Green
Dark Red,!,Red
Effervescent,!,Yellow
Gloopy Green,!,Green
Gold,!,Gold
Gold Speckled,!,BrightYellow
Green,!,Green
Green Speckled,!,Green
Grey,!,Grey
Grey Speckled,!,Grey
Hazy,!,Grey
Ichor,!,Black
Icky Green,!,BrightGreen
Indigo,!,Blue
Ivory White,!,BrightBeige
Light Blue,!,BrightBlue
Light Brown,!,BrightBrown
Light Green,!,BrightGreen
Magenta,!,BrightPurple
Metallic Blue,!,BrightBlue
Metallic Green,!,BrightGreen
Metallic Purple,!,Purple
Metallic Red,!,BrightRed
Misty,!,White
Oily Black,!,Black
Oily Yellow,!,Yellow
Orange,!,Orange
Orange Speckled,!,Orange
Pink,!,Pink
Pink Speckled,!,BrightPink
Puce,!,BrightPurple
Pungent,!,Orange
Purple,!,Purple
Purple Speckled,!,Purple
Red,!,Red
Red Speckled,!,BrightRed
Shimmering,!,BrightWhite
Silver Speckled,!,Silver
Sky Blue,!,BrightBlue
Smoky,!,Grey
Stinking,!,Brown
Tangerine,!,Orange
Vermillion,!,Red
Violet,!,Purple
Violet Speckled,!,Purple
Viscous Pink,!,BrightRed
White,!,BrightWhite
Yellow,!,Yellow
Yellow Speckled,!,Yellow
