Name,Character,Colour
BeigeBolt,|,Beige
BeigeBullet,·,Beige
BeigeSplat,*,Beige
BlackBolt,|,Black
BlackBullet,·,Black
BlackSplat,*,Black
BlueBolt,|,Blue
BlueBullet,·,Blue
BlueSplat,*,Blue
BrightBeigeBolt,|,BrightBeige
BrightBeigeBullet,·,BrightBeige
BrightBeigeSplat,*,BrightBeige
BrightBlueBolt,|,BrightBlue
BrightBlueBullet,·,BrightBlue
BrightBlueSplat,*,BrightBlue
BrightBrownBolt,|,BrightBrown
BrightBrownBullet,·,BrightBrown
BrightBrownSplat,*,BrightBrown
BrightChartreuseBolt,|,BrightChartreuse
BrightChartreuseBullet,·,BrightChartreuse
BrightChartreuseSplat,*,BrightChartreuse
BrightGreenBolt,|,BrightGreen
BrightGreenBullet,·,BrightGreen
BrightGreenSplat,*,BrightGreen
BrightGreyBolt,|,BrightGrey
BrightGreyBullet,·,BrightGrey
BrightGreySplat,*,BrightGrey
BrightOrangeBolt,|,BrightOrange
BrightOrangeBullet,·,BrightOrange
BrightOrangeSplat,*,BrightOrange
BrightPinkBolt,|,BrightPink
BrightPinkBullet,·,BrightPink
BrightPinkSplat,*,BrightPink
BrightPurpleBolt,|,BrightPurple
BrightPurpleBullet,·,BrightPurple
BrightPurpleSplat,*,BrightPurple
BrightRedBolt,|,BrightRed
BrightRedBullet,·,BrightRed
BrightRedSplat,*,BrightRed
BrightTurquoiseBolt,|,BrightTurquoise
BrightTurquoiseBullet,·,BrightTurquoise
BrightTurquoiseSplat,*,BrightTurquoise
BrightWhiteBolt,|,BrightWhite
BrightWhiteBullet,·,BrightWhite
BrightWhiteSplat,*,BrightWhite
BrightYellowBolt,|,BrightYellow
BrightYellowBullet,·,BrightYellow
BrightYellowSplat,*,BrightYellow
BrownBolt,|,Brown
BrownBullet,·,Brown
BrownSplat,*,Brown
ChartreuseBolt,|,Chartreuse
ChartreuseBullet,·,Chartreuse
ChartreuseSplat,*,Chartreuse
CopperBolt,|,Copper
CopperBullet,·,Copper
CopperSplat,*,Copper
DiamondBolt,|,Diamond
DiamondBullet,·,Diamond
DiamondSplat,*,Diamond
GoldBolt,|,Gold
GoldBullet,·,Gold
GoldSplat,*,Gold
GreenBolt,|,Green
GreenBullet,·,Green
GreenSplat,*,Green
GreyBolt,|,Grey
GreyBullet,·,Grey
GreySplat,*,Grey
OrangeBolt,|,Orange
OrangeBullet,·,Orange
OrangeSplat,*,Orange
PinkBolt,|,Pink
PinkBullet,·,Pink
PinkSplat,*,Pink
PurpleBolt,|,Purple
PurpleBullet,·,Purple
PurpleSplat,*,Purple
RedBolt,|,Red
RedBullet,·,Red
RedSplat,*,Red
SilverBolt,|,Silver
SilverBullet,·,Silver
SilverSplat,*,Silver
TurquoiseBolt,|,Turquoise
TurquoiseBullet,·,Turquoise
TurquoiseSplat,*,Turquoise
WhiteBolt,|,White
WhiteBullet,·,White
WhiteSplat,*,White
YellowBolt,|,Yellow
YellowBullet,·,Yellow
YellowSplat,*,Yellow
