Name,Character,Colour
Adamantite,=,Chartreuse
Alexandrite,=,BrightGreen
Amethyst,=,Purple
Aquamarine,=,BrightBlue
Azurite,=,Blue
Beryl,=,Orange
Bloodstone,=,Red
Bone,=,BrightBeige
Brass,=,Copper
Bronze,=,BrightBrown
Calcite,=,BrightWhite
Carnelian,=,BrightOrange
Corundum,=,White
Diamond,=,Diamond
Dilithium,=,BrightPink
Double,=,Grey
Emerald,=,BrightGreen
Engagement,=,Gold
Flourite,=,Green
Garnet,=,Red
Gold,=,Gold
Granite,=,Black
Jade,=,Green
Jasper,=,Orange
Jet,=,Black
Lapis Lazuli,=,Turquoise
Malachite,=,BrightGreen
Marble,=,BrightWhite
Mithril,=,BrightBlue
Moonstone,=,Beige
Obsidian,=,Black
Onyx,=,Red
Opal,=,BrightBlue
Pearl,=,BrightBeige
Plain,=,White
Platinum,=,BrightWhite
Quartz,=,BrightWhite
Quartzite,=,Grey
Rhodonite,=,BrightRed
Ruby,=,BrightRed
Rusty,=,BrightOrange
Sapphire,=,Blue
Scarab,=,Green
Serpent,=,Purple
Shining,=,BrightWhite
Silver,=,Silver
Spikard,=,Pink
Tiger Eye,=,Orange
Topaz,=,Yellow
Tortoise Shell,=,Yellow
Transparent,=,Grey
Turquise,=,BrightTurquoise
Wedding,=,Gold
Wire,=,White
Wooden,=,Brown
Zircon,=,BrightPurple
