Name,Character,Colour
Ashen,_,BrightBrown
Aspen,_,BrightBrown
Balsa,_,Beige
Bamboo,_,Yellow
Banyan,_,BrightBrown
Birch,_,BrightBrown
Cedar,_,Brown
Cottonwood,_,BrightBrown
Cypress,_,Brown
Dogwood,_,Brown
Elm,_,BrightBrown
Eucalyptus,_,Brown
Golden,_,Gold
Hawthorn,_,Brown
Hemlock,_,Brown
Hickory,_,Brown
Ironwood,_,Grey
Locust,_,BrightBrown
Mahogany,_,Brown
Maple,_,Brown
Mistletoe,_,BrightBrown
Mulberry,_,BrightBrown
Oak,_,Brown
Pine,_,BrightBrown
Redwood,_,Red
Rosewood,_,Red
Runed,_,Purple
Silver,_,Silver
Spruce,_,BrightBrown
Sycamore,_,BrightBrown
Teak,_,Brown
Walnut,_,Brown
