Name,Character,Colour
Adamantite,-,Chartreuse
Aluminium,-,White
Aluminium-Plated,-,White
Brass,-,Copper
Bronze,-,BrightBrown
Cast Iron,-,Grey
Chromium,-,BrightWhite
Copper,-,Copper
Copper-Plated,-,Orange
Gold,-,Gold
Gold-Plated,-,Gold
Hexagonal,-,Pink
Iron,-,Grey
Ivory,-,BrightBeige
Lead,-,Black
Lead-Plated,-,Black
Long,-,Green
Magnesium,-,Grey
Mithril,-,BrightBlue
Mithril-Plated,-,BrightBlue
Molybdenum,-,White
Nickel,-,White
Nickel-Plated,-,White
Platinum,-,BrightWhite
Runed,-,Purple
Rusty,-,BrightOrange
Short,-,Orange
Silver,-,Silver
Silver-Plated,-,Silver
Steel,-,White
Steel-Plated,-,White
Tin,-,White
Tin-Plated,-,White
Titanium,-,White
Tungsten,-,Grey
Uridium,-,White
Zinc,-,Grey
Zinc-Plated,-,Grey
Zirconium,-,BrightWhite
